,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,1.0,,,156.88794589042664,,,,,,,,,,,,,,,,,,,,,,,1194.0,24.0,24.0,28574.0,240.0
1,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:18)len=6:b'\x00\x00\x00\x00\x00\x94\x92@\x00\x00\x00\x00\x00\x14\x90@\x00\x00\x00\x00\x00\xa8\x8b@\x00\x00\x00\x00\x00\xa8\x8b@\x00\x00\x00\x00\x00\xc0\x8c@\x00\x00\x00\x00\x00\x08\x90@',6.0,,20.47255516052246,26.710774183273315,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,0.0,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:18)len=6,0.02322882254734238,(3139d32c-93cd-49bf-ac94-1cf0dc98d2c1)_(1): (19:21)len=3,,,,,,,,,
3,,,,,,"[0.10669283 0.09316257 0.0757075  0.07808304 0.09719066 0.11247676]:b""f\xc3i\xb08P\xbb?\x9eU%\x8e\x80\xd9\xb7?0j\xe8\r\x91a\xb3?\xf9<'\n@\xfd\xb3?Axn\xbf|\xe1\xb8?\xe1\xda\r\xeaF\xcb\xbc?""",6.0,,21.135870218276978,28.82159185409546,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,0.005221287229946672,(5a5226e6-9d64-4932-a066-853d6de299a1)_(6): (13:15)len=3,0.026074885049472304,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (7:9)len=3,,,,,,,,,
5,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
7,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
9,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
11,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
13,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
15,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
17,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
19,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
21,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
23,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
25,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
27,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
29,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
31,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
33,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
35,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
37,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
39,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
41,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
43,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
45,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
47,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
49,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
51,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
53,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
55,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
57,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
59,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
61,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
63,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
65,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
67,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
69,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
71,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
73,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
75,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
77,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
79,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
81,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
83,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
85,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
87,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
89,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
91,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
93,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
95,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
97,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
99,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
101,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
103,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
105,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
107,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
109,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
111,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
113,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
115,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,0.0,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (9:9)len=1,0.015044825131628673,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (9:9)len=1,,,,,,,,,
117,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:13)len=1:b'\xa5\x04\x00\x00\x00\x00\x00\x00',1.0,,19.47320055961609,20.502447843551636,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,0.0,(a48e40f1-d042-4dfa-a6ab-087a8bc78e81)_(6): (15:15)len=1,0.023078469619391542,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(1): (10:10)len=1,,,,,,,,,
119,,,,,,[0.10669283]:b'f\xc3i\xb08P\xbb?',1.0,,19.759153127670288,19.337498426437378,,,,,,,,,,,,,,,,,,,,,
